iIdx,jIdx,sim
14539,31507,0.083333
14539,32695,0.083333
14539,31521,0.078947
14539,22603,0.076923
14539,10726,0.074627
14539,18111,0.071429
14539,25211,0.070175
14539,16658,0.068182
14539,14563,0.066667
14539,14586,0.063830
14539,16818,0.063830
14539,19631,0.060606
14539,19598,0.058824
14539,18773,0.058824
14539,21687,0.056604
14539,12199,0.054545
14539,19227,0.054545
14539,17123,0.054054
14539,21829,0.053571
27894,27768,0.150000
27894,25232,0.142857
27894,25483,0.142857
27894,27816,0.142857
27894,25513,0.142857
27894,7623,0.136364
27894,24716,0.115385
27894,17569,0.111111
27894,24450,0.103448
27894,15338,0.100000
27894,23781,0.096774
27894,23060,0.093750
27894,24717,0.090909
27894,19598,0.088235
27894,7428,0.088235
27894,18870,0.085714
27894,24666,0.083333
27894,20670,0.081081
27894,23375,0.078947
27894,13718,0.071429
16723,13506,0.027778
16723,2032,0.006160
16723,7742,0.005535
16723,2134,0.003352
16723,837,0.003226
16723,4766,0.003109
16723,744,0.002221
16723,3433,0.002121
16723,4696,0.001316
16723,4041,0.001133
16723,695,0.001124
16723,4058,0.001105
16723,788,0.001071
16723,566,0.001064
16723,3267,0.001051
16723,647,0.001028
16723,3992,0.001008
16723,618,0.000912
16723,589,0.000892
16723,1610,0.000869
27114,27110,0.533333
27114,8691,0.470588
27114,8532,0.470588
27114,8709,0.470588
27114,27119,0.466667
27114,8403,0.450000
27114,27108,0.437500
27114,27104,0.437500
27114,8559,0.434783
27114,8581,0.428571
27114,8719,0.421053
27114,8603,0.421053
27114,8664,0.421053
27114,27121,0.416667
27114,8671,0.411765
27114,8643,0.411765
27114,8601,0.411765
27114,8674,0.411765
27114,8611,0.411765
27114,8483,0.411765
30131,29297,0.250000
30131,24062,0.214286
30131,27366,0.214286
30131,28062,0.200000
30131,24264,0.166667
30131,30120,0.166667
30131,24206,0.125000
30131,19227,0.096774
30131,12199,0.096774
30131,26862,0.090909
30131,22857,0.083333
30131,10563,0.081081
30131,10730,0.078431
30131,17447,0.076923
30131,8341,0.073171
30131,19056,0.073171
30131,17700,0.071429
30131,19631,0.069767
30131,12201,0.066667
30131,14158,0.062500
17739,23277,0.275000
17739,17937,0.238095
17739,17898,0.227273
17739,17888,0.217391
17739,23326,0.210526
17739,23346,0.200000
17739,17817,0.200000
17739,17908,0.192308
17739,17857,0.190476
17739,17934,0.190476
17739,17750,0.185185
17739,23332,0.181818
17739,17790,0.179487
17739,17858,0.178571
17739,17850,0.178571
17739,17800,0.166667
17739,17870,0.161290
17739,17820,0.160000
17739,17918,0.160000
17739,23308,0.160000
21040,24030,0.100000
21040,12105,0.097561
21040,11360,0.071429
21040,23043,0.071429
21040,11620,0.070423
21040,15241,0.068966
21040,10192,0.065574
21040,21042,0.063492
21040,12731,0.062500
21040,22069,0.053333
21040,8420,0.051282
21040,16532,0.047619
21040,13495,0.043478
21040,8869,0.041667
21040,13785,0.039604
21040,17718,0.039474
21040,12656,0.038462
21040,8213,0.037037
21040,18762,0.036145
21040,15055,0.035294
27650,25192,0.272727
27650,22385,0.250000
27650,23455,0.238095
27650,10759,0.235294
27650,25836,0.217391
27650,31188,0.210526
27650,25242,0.210526
27650,25253,0.210526
27650,27838,0.200000
27650,30807,0.200000
27650,22197,0.200000
27650,25225,0.200000
27650,17609,0.200000
27650,30814,0.200000
27650,17081,0.200000
27650,25270,0.187500
27650,25414,0.187500
27650,32556,0.187500
27650,30819,0.187500
27650,27754,0.187500
29820,11878,0.062500
29820,9618,0.037037
29820,4028,0.036269
29820,22654,0.035714
29820,16583,0.023438
29820,9334,0.022901
29820,4027,0.022082
29820,16342,0.018433
29820,5831,0.018265
29820,12696,0.014778
29820,10897,0.014019
29820,10417,0.013274
29820,7997,0.013274
29820,13110,0.011152
29820,4559,0.008955
29820,2395,0.008466
29820,6374,0.008351
29820,12541,0.007407
29820,3309,0.007203
29820,6577,0.007109
15116,33,0.200000
15116,18701,0.165138
15116,17596,0.133929
15116,21910,0.127119
15116,22693,0.120370
15116,18710,0.113043
15116,18257,0.098592
15116,30149,0.095238
15116,28489,0.094340
15116,21917,0.093458
15116,10539,0.091429
15116,31412,0.085714
15116,15939,0.085106
15116,18707,0.084906
15116,18515,0.084507
15116,18704,0.081818
15116,16216,0.081712
15116,9685,0.081081
15116,15948,0.080000
15116,10402,0.074236
627,2420,0.160130
627,2991,0.151765
627,1680,0.144034
627,1673,0.140099
627,3754,0.136744
627,604,0.134528
627,3308,0.133513
627,4969,0.128911
627,6566,0.128268
627,696,0.125843
627,5808,0.123310
627,3303,0.122762
627,1794,0.121552
627,589,0.120764
627,2751,0.119491
627,1748,0.119326
627,472,0.116730
627,1688,0.116235
627,2465,0.115794
627,1683,0.115789
12151,18303,0.086957
12151,14907,0.081081
12151,13991,0.079710
12151,9209,0.076923
12151,16151,0.073620
12151,18263,0.071429
12151,17501,0.070513
12151,10289,0.070175
12151,14786,0.069182
12151,16049,0.068966
12151,20602,0.067669
12151,9374,0.066667
12151,14304,0.066667
12151,10288,0.066434
12151,13556,0.065217
12151,9032,0.064725
12151,13389,0.064516
12151,9792,0.064378
12151,13972,0.064356
12151,24328,0.063830
9547,8972,0.098859
9547,9557,0.086777
9547,5795,0.080856
9547,8962,0.079681
9547,8759,0.077697
9547,4431,0.072879
9547,6676,0.072581
9547,21668,0.071429
9547,9122,0.069672
9547,11416,0.067925
9547,9120,0.067278
9547,3824,0.063660
9547,7236,0.063080
9547,1162,0.059836
